Year,Units,Serie,Territorio,Serie temporal,Umbral de pobreza,Value
2018,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,25.23
2019,Porcentaje (%),Serie B,ES,Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE,Umbral autonómico de pobreza,24.45
2010,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,4.91
2011,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,4.54
2012,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,5.84
2013,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,6.19
2014,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,7.06
2015,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,6.44
2016,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,5.79
2017,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,5.14
2018,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,5.4
2019,Porcentaje (%),Serie C,ES,Proporción de personas con carencia material severa,,4.7
2010,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,10.82
2011,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,13.35
2012,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,14.28
2013,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,15.68
2014,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,17.12
2015,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,15.44
2016,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,14.85
2017,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,12.79
2018,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,10.65
2019,Porcentaje (%),Serie D,ES,Proporción de personas viviendo en hogares con baja intensidad de trabajo,,10.84
